date,temp_early_morning
2021-01-01,39.0
2021-01-02,44.0
2021-01-03,50.0
2021-01-04,54.0
2021-01-05,53.0
2021-01-06,57.0
2021-01-07,47.0
2021-01-08,44.0
2021-01-09,40.0
2021-01-10,39.0
2021-01-11,38.0
2021-01-12,41.0
2021-01-13,45.0
2021-01-14,52.0
2021-01-15,48.0
2021-01-16,43.0
2021-01-17,49.0
2021-01-18,48.0
2021-01-19,53.0
2021-01-20,47.0
2021-01-21,53.0
2021-01-22,51.0
2021-01-23,48.0
2021-01-24,54.0
2021-01-25,56.0
2021-01-26,45.0
2021-01-27,44.0
2021-01-28,38.0
2021-01-29,49.0
2021-01-30,59.0
2021-01-31,47.0
2021-02-01,44.0
2021-02-02,50.0
2021-02-03,52.0
2021-02-04,66.0
2021-02-05,48.0
2021-02-06,47.0
2021-02-07,41.0
2021-02-08,52.0
2021-02-09,33.0
2021-02-10,30.9
2021-02-11,26.1
2021-02-12,26.1
2021-02-13,21.9
2021-02-14,18.0
2021-02-15,7.0
2021-02-16,12.0
2021-02-17,24.1
2021-02-18,25.0
2021-02-19,26.1
2021-02-20,37.0
2021-02-21,53.0
2021-02-22,53.0
2021-02-23,66.0
2021-02-24,67.0
2021-02-25,51.0
2021-02-26,51.0
2021-02-27,57.0
2021-02-28,73.0
2021-03-01,46.0
2021-03-02,54.0
2021-03-03,57.0
2021-03-04,62.0
2021-03-05,62.0
2021-03-06,55.0
2021-03-07,57.0
2021-03-08,63.0
2021-03-09,63.0
2021-03-10,67.0
2021-03-11,73.0
2021-03-12,71.0
2021-03-13,70.0
2021-03-14,60.0
2021-03-15,61.0
2021-03-16,69.0
2021-03-17,62.0
2021-03-18,49.0
2021-03-19,49.0
2021-03-20,53.0
2021-03-21,51.0
2021-03-22,58.0
2021-03-23,56.0
2021-03-24,59.0
2021-03-25,56.0
2021-03-26,64.0
2021-03-27,68.0
2021-03-28,63.0
2021-03-29,64.0
2021-03-30,65.0
2021-03-31,58.0
2021-04-01,56.0
2021-04-02,55.0
2021-04-03,59.0
2021-04-04,61.0
2021-04-05,66.0
2021-04-06,70.0
2021-04-07,64.0
2021-04-08,66.0
2021-04-09,73.0
2021-04-10,60.0
2021-04-11,65.0
2021-04-12,66.0
2021-04-13,61.0
2021-04-14,62.0
2021-04-15,59.0
